id,M,P,NP,user,system,elapsed
1,50000,5000,2,11.00,1.53,7.87
2,50000,5000,2,10.99,1.49,6.96
3,50000,5000,2,11.03,1.49,6.87
4,50000,5000,2,10.96,1.51,7.03
5,50000,5000,2,11.02,1.46,6.92
6,50000,5000,4,12.19,2.48,4.76
7,50000,5000,4,12.29,2.52,4.89
8,50000,5000,4,12.26,2.51,4.79
9,50000,5000,4,12.27,2.55,4.80
10,50000,5000,4,12.28,2.50,4.84
11,50000,5000,14,15.79,9.84,4.01
12,50000,5000,14,15.92,9.60,3.98
13,50000,5000,14,15.65,9.59,3.99
14,50000,5000,14,16.31,9.57,3.96
15,50000,5000,14,15.75,9.73,3.98
16,50000,5000,28,23.49,30.00,5.09
17,50000,5000,28,24.28,28.95,5.04
18,50000,5000,28,24.88,29.72,5.12
19,50000,5000,28,24.61,30.13,5.16
20,50000,5000,28,22.79,30.33,5.20
21,50000,5000,56,56.01,57.50,7.75
22,50000,5000,56,57.32,58.03,7.80
23,50000,5000,56,55.43,57.57,7.81
24,50000,5000,56,46.93,57.84,7.72
25,50000,5000,56,55.17,59.51,7.78
26,50000,5000,84,48.74,60.92,7.79
27,50000,5000,84,49.63,59.57,7.60
28,50000,5000,84,54.30,53.81,7.68
29,50000,5000,84,49.27,54.58,7.63
30,50000,5000,84,49.77,55.23,7.52
31,50000,5000,112,61.55,57.13,7.85
32,50000,5000,112,47.24,54.82,7.53
33,50000,5000,112,66.16,52.84,7.86
34,50000,5000,112,45.49,57.70,7.64
35,50000,5000,112,71.52,55.09,7.92
