id,M,P,NP,user,system,elapsed
1,50000,5000,2,10.16,3.31,10.04
2,50000,5000,2,10.14,3.22,7.68
3,50000,5000,2,10.02,3.26,7.67
4,50000,5000,2,10.08,3.23,7.57
5,50000,5000,2,10.08,3.22,7.69
6,50000,5000,4,18.03,9.91,8.45
7,50000,5000,4,18.22,9.66,8.56
8,50000,5000,4,18.13,10.03,8.54
9,50000,5000,4,18.39,9.93,8.57
10,50000,5000,4,18.05,9.86,8.56
11,50000,5000,14,38.92,20.27,8.10
12,50000,5000,14,37.06,20.35,7.95
13,50000,5000,14,37.92,20.42,8.13
14,50000,5000,14,38.88,20.44,8.09
15,50000,5000,14,38.65,20.13,8.04
16,50000,5000,28,67.81,45.16,9.41
17,50000,5000,28,67.60,45.00,9.43
18,50000,5000,28,67.96,46.01,9.41
19,50000,5000,28,69.15,46.95,9.42
20,50000,5000,28,69.08,46.13,9.48
21,50000,5000,56,180.43,90.64,13.29
22,50000,5000,56,183.02,91.45,13.26
23,50000,5000,56,171.03,92.70,13.29
24,50000,5000,56,174.79,92.60,12.82
25,50000,5000,56,188.31,89.46,13.07
26,50000,5000,84,186.46,89.31,13.28
27,50000,5000,84,162.09,88.93,13.39
28,50000,5000,84,165.72,90.75,13.12
29,50000,5000,84,160.33,88.87,12.71
30,50000,5000,84,166.63,85.86,12.88
31,50000,5000,112,162.92,86.74,12.54
32,50000,5000,112,189.07,87.01,13.18
33,50000,5000,112,166.87,86.92,12.88
34,50000,5000,112,170.31,83.48,12.69
35,50000,5000,112,165.59,83.41,12.68
